,0.5
2155293500,0.54355
2155994500,0.54354
2157841500,0.54321
2158135000,0.54339
2158545500,0.5435
2158854500,0.54368
2161297000,0.5434
2161804000,0.54367
2166806500,0.54251
2170788500,0.54197
2172373500,0.54184
2173567500,0.54178
2175251500,0.54162
2176003000,0.54169
2178352500,0.54152
2178377500,0.54173
2179971500,0.54156
2180298000,0.54187
2181833500,0.54177
2183951500,0.54166
2184381500,0.54173
2184855500,0.54194
2184912500,0.54212
2185548000,0.5423
2189127500,0.54168
2189462000,0.54174
2189611500,0.54188
2189782000,0.54202
2189994500,0.54211
2190374000,0.5423
2190541500,0.54262
2191878000,0.5425
2192377000,0.54277
2193365000,0.54286
2194760000,0.54277
2194839000,0.54315
2195631500,0.54324
2196058000,0.54365
2196324500,0.54379
2196793000,0.54396
2198559500,0.54368
2199072000,0.54395
2199372000,0.54414
2202014000,0.54392
2202855000,0.54387
2207206000,0.54308
2208369500,0.54299
2209006500,0.54308
2209656500,0.54322
2210421500,0.5432
2210915000,0.54327
2211791500,0.54349
2212854500,0.54343
2214107000,0.54332
2218790500,0.5423
2219403000,0.54241
2222156500,0.54209
2223786500,0.54196
2223787500,0.54223
2224292500,0.54239
2225042500,0.54245
2226027500,0.54247
2226349500,0.54277
2229843500,0.54226
2231048000,0.54223
2231549000,0.54233
2231931500,0.5425
2232652000,0.54257
2233420500,0.54272
2235210000,0.54254
2238398000,0.54194
2240991500,0.54157
2241664000,0.54171
2243363500,0.54158
2244261500,0.54166
2246257500,0.54152
2246926500,0.54164
2247071500,0.54188
2247277500,0.5421
2248920500,0.5419
2249402500,0.54202
2249416500,0.54219
2249459500,0.54238
2249697000,0.54282
2250400500,0.5431
2250678500,0.54327
2252316000,0.54311
2254096000,0.54309
2257053000,0.5427
2257816000,0.54277
2258062500,0.54302
2259886000,0.5428
2260234000,0.54291
2262132000,0.54271
2264582500,0.54237
2264720000,0.54261
2265084500,0.54273
2265298500,0.54296
2266115500,0.54298
2266745000,0.54322
2267184500,0.54339
2267210000,0.54363
2270006000,0.54329
2271413500,0.54321
2271704500,0.54338
2272290500,0.54352
2272995000,0.54357
2274410500,0.54356
2274674500,0.54384
2278319000,0.54344
2281509500,0.54311
2281584500,0.54334
2284606000,0.54291
2285544500,0.54295
2288164500,0.54249
2288313500,0.54281
2288767000,0.54294
2289246500,0.54305
2291099500,0.54288
2291841500,0.54303
2292167500,0.54332
2292500500,0.54342
2292622000,0.54376
2292707000,0.54394
2292990500,0.54428
2293300000,0.54442
2295579000,0.54418
2296364500,0.5442
2296664500,0.54428
2296757500,0.5444
2296974000,0.54453
2298133000,0.54453
2302316500,0.54398
2302378000,0.5442
2305296500,0.5439
2308207500,0.54348
2308604500,0.54363
2310546000,0.54344
2311797000,0.54337
2312019000,0.54376
2312621500,0.54375
2313153000,0.54381
2314360000,0.54374
2314701500,0.54385
2316177500,0.54376
2316197000,0.54417
2316292000,0.54441
2318295500,0.54413
2318702000,0.54421
2320091500,0.54422
2320419000,0.54448
2321192500,0.54463
2322932500,0.54451
2324093000,0.54453
2324236500,0.54482
2324674000,0.54496
2325435000,0.54508
2325729500,0.54525
2326080500,0.54549
2326185000,0.54565
2330564000,0.54479
2331285500,0.54487
2331449000,0.54511
2332944000,0.54497
2333937000,0.54498
2334240500,0.54511
2334621000,0.54519
2335972000,0.54511
2336069000,0.54542
2338614000,0.54517
2338884000,0.54539
2340519500,0.54537
2342588000,0.54518
2342984000,0.54526
2343508000,0.54544
2344206500,0.54563
2345902500,0.54544
2349571000,0.54486
2351173000,0.54472
2351810000,0.54497
2352190000,0.54528
2352366000,0.54563
2352604500,0.54596
2354814000,0.54564
2354994500,0.5459
2355261500,0.5462
2355880500,0.54651
2356849000,0.54648
2357147000,0.54649
2360091500,0.5459
2366716500,0.54456
2366829500,0.54473
2366957000,0.5449
2368633500,0.5448
2370490000,0.54471
2370700000,0.54545
2371364000,0.54698
2373678500,0.54743
2373846500,0.54793
2374968000,0.54799
2379182000,0.54756
2380318000,0.54762
2386243500,0.54656
2386861000,0.54674
2386916500,0.54697
2387808000,0.54719
2389340000,0.54721
2393922500,0.54657
2394304500,0.54687
2394375000,0.54713
2394548000,0.54738
2394942500,0.54769
2395600000,0.54788
2396243000,0.54813
2396760500,0.54839
2397001000,0.5486
2398650500,0.54858
2399285000,0.54884
2399326500,0.54905
2401302000,0.54892
2403436500,0.54881
2404031000,0.54894
2406119500,0.54879
2406286500,0.54921
2406662000,0.54948
2408305500,0.54943
2409153500,0.54945
2410315000,0.54953
2411430000,0.54951
2413198500,0.54948
2413471500,0.54975
2413817500,0.54986
2415867500,0.54961
2416874500,0.54966
2417632500,0.54969
2418121500,0.54973
2420356500,0.54956
2423753000,0.54932
2426987500,0.54879
2427399500,0.549
2430027000,0.54872
2430705000,0.54886
2432483000,0.54874
2433191500,0.54903
2434323000,0.54912
2436706000,0.54887
