IDX,IPC,CYCLE,INSTNUM,REGR,REGW,ROBR,ROBW,MEMR,MEMW,Branches,PVF
17596,1.022667,35192000.0,35917865,1.1390996249147534,0.541487809729484,2.0594916742441463,2.176539952261878,0.2622659782255989,0.1100506669870272,0.21617757625627246,0.57631
17597,1.022657,35194000.0,35919551,1.1390793032903337,0.541481332045235,2.059480763766551,2.1765159686310165,0.2622657504822374,0.11004775644328071,0.216178565261019,0.57631
17598,1.022652,35196000.0,35921400,1.1390668826002954,0.5414790317081487,2.0594746277986133,2.176504545971133,0.2622657246098426,0.11004596146029944,0.2161787959266621,0.57631
17599,1.022641,35198000.0,35923067,1.1390429569861924,0.5414728677765782,2.0594630944940056,2.1764804534348543,0.2622649953579966,0.11004258071840024,0.21617984344154134,0.57631
17600,1.022631,35200000.0,35924757,1.139022784090909,0.5414669318181818,2.059452613636364,2.176458068181818,0.2622645714764334,0.11003963088741282,0.21618083596223073,0.57631
17601,1.022622,35202000.0,35926502,1.139002272598148,0.541462076018408,2.059443014601443,2.176438526220101,0.2622640523143611,0.11003662421685251,0.2161816366090971,0.57239
17602,1.022611,35204000.0,35928139,1.1389755141461197,0.5414551471423702,2.0594301783888196,2.1764110896489037,0.26226334740020907,0.11003266826595165,0.21618286435598572,0.57239
17603,1.0226,35206000.0,35929807,1.138951059478498,0.5414489291598024,2.0594185366130775,2.1763865250241436,0.26226261109612975,0.11002923004846644,0.2161839333008385,0.57239
17604,1.022589,35208000.0,35931449,1.138928680981595,0.5414427402862986,2.059407094978414,2.1763629288798,0.2622620924639026,0.1100259274264169,0.21618499159329757,0.57239
17605,1.02258,35210000.0,35933191,1.1389077534791252,0.5414378585629083,2.059397387105936,2.176343055950014,0.2622615397558207,0.11002287550805048,0.21618580993822675,0.57239
17606,1.022569,35212000.0,35934835,1.1388832216289901,0.541431216630694,2.0593850391911848,2.1763168806088835,0.26226095096860746,0.11001928908258518,0.2161869394975655,0.57239
17607,1.022558,35214000.0,35936501,1.1388593457147724,0.5414247742375191,2.0593733174305675,2.1762918157550972,0.26226039646987337,0.11001574694208544,0.21618804791262233,0.57239
17608,1.022554,35216000.0,35938397,1.1388574227623807,0.5414221660608814,2.059369491140391,2.1762825136301682,0.2622612800454066,0.11001531314821861,0.21618821785512582,0.57239
17609,1.022554,35218000.0,35940430,1.138863308535408,0.5414213754330172,2.059370094837867,2.1762816457493326,0.2622623880682563,0.11001557299119682,0.21618825929461613,0.57239
17610,1.022554,35220000.0,35942463,1.1388691368540602,0.5414206700738217,2.0593706984667803,2.176280579216354,0.26226355161024995,0.11001580498253556,0.21618827290717388,0.57239
17611,1.022546,35222000.0,35944239,1.1388513713020272,0.5414169269206746,2.0593622167963206,2.176262847084209,0.26226344644547905,0.11001292863649165,0.2161889698095987,0.57239
17612,1.022536,35224000.0,35945925,1.1388299738814445,0.5414109130138542,2.059351720417897,2.176240574608222,0.2622629686118802,0.11000977162223534,0.21619001319342873,0.55352
17613,1.022529,35226000.0,35947721,1.1388180321353545,0.5414059785385794,2.0593445750298076,2.1762239822858116,0.2622630235724818,0.1100078082835905,0.21619078438936365,0.55352
17614,1.022522,35228000.0,35949489,1.1387991938230952,0.541401442034745,2.0593356704893835,2.1762056602702398,0.26226255955960875,0.11000498504999612,0.216191556992646,0.55352
17615,1.02252,35230000.0,35951486,1.138802554640931,0.54140036900369,2.0593354243542437,2.176203491342606,0.262263512556894,0.11000488269107986,0.21619162000702835,0.55352
17616,1.02252,35232000.0,35953502,1.1388076748410536,0.5413994096276112,2.0593354336966394,2.1762018619436874,0.2622645493615615,0.11000505597479768,0.21619162439308415,0.55352
17617,1.022521,35234000.0,35955597,1.1388148663223023,0.5414000681160243,2.0593376568087645,2.1762048873247433,0.2622656216777599,0.11000534909766621,0.21619143189306522,0.55352
17618,1.022512,35236000.0,35957307,1.1387935066409354,0.5413951072766489,2.0593275059598137,2.176183477125667,0.26226519132814924,0.11000214782491914,0.21619233053242837,0.55352
17619,1.022502,35238000.0,35958991,1.1387709858675295,0.5413888983483739,2.0593163913956523,2.1761596288098075,0.26226467255435504,0.10999877610581454,0.2161934132134019,0.55352
17620,1.02249,35240000.0,35960637,1.1387449489216799,0.5413821225879683,2.05930391600454,2.1761329455164584,0.2622640138438037,0.10999490915580834,0.21619461301533674,0.55352
17621,1.022482,35242000.0,35962375,1.1387240792236535,0.5413771919868339,2.059294137676636,2.1761130753078715,0.26226346285527585,0.10999187345107213,0.21619542647002596,0.55352
17622,1.022471,35244000.0,35964049,1.138699920553853,0.5413707865168539,2.0592825161729658,2.1760878163659063,0.26226287813143623,0.10998825521564605,0.21619656896808254,0.57843
17623,1.02246,35246000.0,35965710,1.1386754809056348,0.5413642682857629,2.0592705271520173,2.176062248198377,0.2622623048453652,0.10998462146305467,0.2161977060928312,0.57843
17624,1.02245,35248000.0,35967393,1.1386528881071267,0.5413580061280072,2.0592593622333184,2.1760381581933728,0.2622617658166106,0.10998125441007081,0.21619879428014147,0.57843
17625,1.022441,35250000.0,35969116,1.1386308085106382,0.5413525673758866,2.0592489929078015,2.176016510638298,0.26226129660790104,0.10997793217937299,0.21619969754052337,0.57843
