IDX,IPC,CYCLE,INSTNUM,REGR,REGW,ROBR,ROBW,MEMR,MEMW,BRANCH,LOADDEP,STOREDEP,PVF
3354,1.173785,6708000.0,7858033,10032584,4992882,15231629,18613024,2115499,1731463,1466078.0,2170367.0,1770199.0,0.53034
3355,1.173797,6710000.0,7860454,10036530,4994565,15236685,18619614,2116226,1732177,1466506.0,2171106.0,1770917.0,0.53034
3356,1.173748,6712000.0,7862471,10039821,4995929,15241224,18625110,2116855,1732797,1466870.0,2171749.0,1771547.0,0.51726
3357,1.173742,6714000.0,7864775,10043563,4997476,15246090,18631261,2117571,1733506,1467277.0,2172474.0,1772259.0,0.51726
3358,1.173717,6716000.0,7866953,10047075,4998931,15250796,18637065,2118247,1734174,1467671.0,2173160.0,1772931.0,0.51726
3359,1.173686,6718000.0,7869082,10050473,5000406,15255432,18642740,2118865,1734777,1468058.0,2173793.0,1773535.0,0.53155
3360,1.173661,6720000.0,7871259,10053894,5001940,15260141,18648597,2119462,1735355,1468469.0,2174408.0,1774117.0,0.53155
3361,1.173623,6722000.0,7873350,10057266,5003407,15264773,18654295,2120069,1735943,1468850.0,2175031.0,1774719.0,0.55048
3362,1.173631,6724000.0,7875745,10061141,5005032,15269747,18660691,2120802,1736665,1469275.0,2175773.0,1775445.0,0.55048
3363,1.173608,6726000.0,7877935,10064633,5006537,15274472,18666566,2121442,1737289,1469679.0,2176427.0,1776076.0,0.55048
3364,1.173623,6728000.0,7880375,10068552,5008201,15279527,18673115,2122171,1738007,1470123.0,2177166.0,1776794.0,0.48349
3365,1.173586,6730000.0,7882471,10071884,5009652,15284115,18678705,2122769,1738587,1470511.0,2177785.0,1777387.0,0.48349
3366,1.17361,6732000.0,7884973,10075971,5011387,15289262,18685473,2123527,1739335,1470948.0,2178555.0,1778137.0,0.48349
3367,1.173587,6734000.0,7887164,10079523,5012921,15294022,18691452,2124172,1739963,1471343.0,2179220.0,1778778.0,0.48228
3368,1.173578,6736000.0,7889440,10083201,5014450,15298862,18697537,2124871,1740653,1471752.0,2179924.0,1779468.0,0.48228
3369,1.173557,6738000.0,7891645,10086827,5016053,15303697,18703719,2125506,1741269,1472149.0,2180589.0,1780104.0,0.54914
3370,1.173569,6740000.0,7894065,10090742,5017718,15308746,18710280,2126232,1741983,1472586.0,2181330.0,1780820.0,0.54914
3371,1.17352,6742000.0,7896082,10093938,5019141,15313298,18715831,2126794,1742529,1472979.0,2181912.0,1781376.0,0.54914
3372,1.173486,6744000.0,7898194,10097238,5020631,15317934,18721522,2127367,1743077,1473385.0,2182498.0,1781933.0,0.48307
3373,1.17344,6746000.0,7900225,10100407,5022035,15322445,18726922,2127930,1743623,1473777.0,2183074.0,1782483.0,0.48307
3374,1.173399,6748000.0,7902294,10103764,5023511,15327038,18732561,2128526,1744199,1474149.0,2183693.0,1783073.0,0.48307
3375,1.173393,6750000.0,7904592,10107507,5025082,15331908,18738740,2129232,1744895,1474555.0,2184406.0,1783775.0,0.48021
3376,1.173403,6752000.0,7907004,10111430,5026703,15336906,18745188,2129983,1745639,1474980.0,2185168.0,1784522.0,0.48021
3377,1.173417,6754000.0,7909437,10115385,5028372,15341934,18751695,2130718,1746359,1475409.0,2185912.0,1785250.0,0.48021
3378,1.173416,6756000.0,7911778,10119135,5029963,15346821,18757907,2131416,1747049,1475830.0,2186619.0,1785939.0,0.47806
3379,1.173406,6758000.0,7914053,10122887,5031532,15351690,18764086,2132121,1747741,1476230.0,2187339.0,1786646.0,0.47806
3380,1.173384,6760000.0,7916243,10126390,5033042,15356437,18769987,2132759,1748365,1476630.0,2187983.0,1787270.0,0.47806
3381,1.173326,6762000.0,7918191,10129432,5034361,15360868,18775234,2133316,1748907,1477016.0,2188552.0,1787818.0,0.47802
3382,1.173296,6764000.0,7920335,10132872,5035844,15365540,18780994,2133943,1749519,1477409.0,2189197.0,1788438.0,0.47802
3383,1.173318,6766000.0,7922828,10136867,5037525,15370622,18787599,2134695,1750257,1477860.0,2189957.0,1789180.0,0.47802
3384,1.173321,6768000.0,7925187,10140680,5039107,15375550,18793869,2135425,1750979,1478282.0,2190692.0,1789904.0,0.47604
